[2025-03-29 12:08:40,166: INFO: main : Welcome to custom logging data science]
[2025-03-29 12:58:01,129: INFO: main : Welcome to custom logging data science]
[2025-03-29 12:58:01,129: INFO: common : Yaml File: params.yaml loaded successfully]
[2025-03-29 13:00:20,195: INFO: main : Welcome to custom logging data science]
[2025-03-29 13:00:20,195: INFO: common : Yaml File: params.yaml loaded successfully]
[2025-03-29 13:01:04,823: INFO: main : Welcome to custom logging data science]
[2025-03-29 13:01:04,824: INFO: common : Yaml File: params.yaml loaded successfully]
[2025-03-29 13:01:04,824: INFO: main : {'hello': {'ciao': None}}]
[2025-03-29 13:13:56,912: INFO: main : Welcome to custom logging data science]
[2025-03-29 13:13:56,912: INFO: common : Yaml File: params.yaml loaded successfully]
[2025-03-29 13:13:56,912: INFO: main : {'hello': {'ciao': None}}]
[2025-03-29 13:14:09,568: INFO: main : Welcome to custom logging data science]
[2025-03-29 13:14:09,569: INFO: common : Yaml File: params.yaml loaded successfully]
[2025-03-29 13:14:09,569: INFO: main : {'hello': {'ciao': None}}]
[2025-03-29 13:14:09,569: INFO: common : created directory at: abc]
[2025-03-29 13:14:57,911: INFO: main : Welcome to custom logging data science]
[2025-03-29 13:14:57,912: INFO: common : Yaml File: params.yaml loaded successfully]
[2025-03-29 13:14:57,912: INFO: main : {'hello': {'ciao': None}}]
[2025-03-29 13:14:57,912: INFO: common : created directory at: abc]
[2025-03-29 13:15:03,437: INFO: main : Welcome to custom logging data science]
[2025-03-29 13:15:03,438: INFO: common : Yaml File: params.yaml loaded successfully]
[2025-03-29 13:15:03,438: INFO: main : {'hello': {'ciao': None}}]
[2025-03-29 13:15:03,438: INFO: common : created directory at: abc]
[2025-03-29 13:16:24,668: INFO: main : Welcome to custom logging data science]
[2025-03-29 13:16:24,669: INFO: common : Yaml File: params.yaml loaded successfully]
[2025-03-29 13:16:24,669: INFO: main : {'hello': {'ciao': None}}]
[2025-03-29 13:16:24,669: INFO: common : created directory at: abc]
[2025-03-29 13:16:24,669: INFO: common : json file saved at: abc/mike.json]
[2025-03-29 13:16:24,669: INFO: common : json file loaded succesfully from: abc/mike.json]
